Explainer,Model,Dataset,AB,score,score_bottom,score_top,kendall,random,noise,Skew,Samples,HC,ConfVars
ShapKernelKmeans,RandomForest,0_vars_corr_0HC_n600.csv,A,2.7720855283792494,0.09387834946408641,0.08956623030012066,0.0,0.7640301201864437,0.0,0.5,600.0,0.0,0.0
ShapKernelKmeans,RandomForest,0_vars_corr_0HC_n700.csv,A,2.90345881209959,0.06327325659228207,0.07341342438850901,0.0,0.7851131971269247,0.0,0.5,700.0,0.0,0.0
ShapKernelKmeans,RandomForest,0_vars_corr_0HC_n800.csv,A,2.8460259755329167,0.09559284079225756,0.08460569635969999,0.3333333333333334,0.7799612659121742,0.0,0.5,800.0,0.0,0.0
ShapKernelKmeans,RandomForest,0_vars_corr_0HC_n900.csv,A,2.791654200139832,0.10675270349505701,0.09508420111414378,0.6666666666666669,0.7757562108896663,0.0,0.5,900.0,0.0,0.0
ShapKernelKmeans,RandomForest,1_vars_corr_1HC_n100.csv,A,2.793022523285681,0.13240458063725344,0.10855007020149916,0.6666666666666669,0.7908624538229801,0.0034222628546099463,0.5,100.0,1.0,1.0
ShapKernelKmeans,RandomForest,1_vars_corr_1HC_n1000.csv,A,2.7881768206549147,0.12082744890910839,0.0549123100183604,0.3333333333333334,0.7387987731705584,0.0,0.5,1000.0,1.0,1.0
ShapKernelKmeans,RandomForest,1_vars_corr_1HC_n300.csv,A,2.6565252023620403,0.10549221609963241,0.08708968740250914,0.3333333333333334,0.7324771814640054,0.001433730158730164,0.5,300.0,1.0,1.0
ShapKernelKmeans,RandomForest,1_vars_corr_1HC_n500.csv,A,2.6651999316473,0.09245480377048557,0.12055131600902831,0.6666666666666669,0.761638936979992,0.0,0.5,500.0,1.0,1.0
ShapKernelKmeans,RandomForest,1_vars_corr_1HC_n700.csv,A,2.6991824199408416,0.14292819147050254,0.0164294366019793,0.3333333333333334,0.6865620868178207,0.0,0.5,700.0,1.0,1.0
ShapKernelKmeans,RandomForest,1_vars_corr_1HC_n900.csv,A,2.8783919417744537,0.0976271624169923,0.0901344618239789,0.6666666666666669,0.7941160987803645,0.0,0.5,900.0,1.0,1.0
ShapKernelKmeans,RandomForest,2_vars_corr_1HC_n100.csv,A,3.4768556005398112,0.03835158825473357,0.02390493944143076,0.6666666666666669,0.8921029223173491,0.0126799886621315,0.5,100.0,1.0,2.0
ShapKernelKmeans,RandomForest,2_vars_corr_1HC_n1000.csv,A,2.899106000465925,0.12647400251324653,0.1057210144521024,0.6666666666666669,0.8152420893395032,0.00011293019731485386,0.5,1000.0,1.0,2.0
